Wk;Day;Date;Time;Home;xG;Score;xG;Away;Attendance;Venue;Referee;Match Report;Notes
13;Sat;sábado, 1 de julho de 2023;21:00;Internacional;2.0;0–0;1.0;Cruzeiro;23,923;Estádio José Pinheiro Borba;Wagner do Nascimento Magalhães;Match Report;
13;Mon;segunda-feira, 3 de julho de 2023;20:00;Goiás;1.9;1–2;0.9;Coritiba;10,394;Estádio de Hailé Pinheiro;Denis da Silva Ribeiro Serafim;Match Report;
14;Sat;sábado, 8 de julho de 2023;15:00 (16:00);Cuiabá;1.5;1–1;0.3;Bahia;10,149;Arena Pantanal;Wagner do Nascimento Magalhães;Match Report;
14;Sat;sábado, 8 de julho de 2023;16:00;Vasco da Gama;1.3;0–1;0.7;Cruzeiro;;Estádio Club de Regatas Vasco da Gama;Savio Pereira;Match Report;
14;Sat;sábado, 8 de julho de 2023;18:30;Atlético Mineiro;1.4;0–1;0.8;Corinthians;21,086;Estádio Governador Magalhães Pinto;Rodrigo José Pereira de Lima;Match Report;
14;Sat;sábado, 8 de julho de 2023;18:30;Coritiba;1.9;3–1;1.1;América (MG);24,653;Estádio Major Antônio Couto Pereira;Rafael Rodrigo Klein;Match Report;
14;Sun;domingo, 9 de julho de 2023;11:00;Santos;2.4;4–3;1.9;Goiás;;Estádio Urbano Caldeira;Bruno Arleu de Araujo;Match Report;
14;Sun;domingo, 9 de julho de 2023;16:00;Bragantino;1.6;0–0;0.5;São Paulo;9,411;Estádio Nabi Abi Chedid;Raphael Claus;Match Report;
14;Sun;domingo, 9 de julho de 2023;16:00;Fluminense;1.1;2–0;0.4;Internacional;34,166;Estadio Jornalista Mário Filho;Luiz Flávio de Oliveira;Match Report;
14;Sun;domingo, 9 de julho de 2023;18:30;Fortaleza;1.5;1–0;1.2;Ath Paranaense;36,399;Estádio Castelão;André Luiz Skettino Policarpo Bento;Match Report;
14;Sun;domingo, 9 de julho de 2023;18:30;Grêmio;1.6;0–2;1.1;Botafogo (RJ);47,029;Arena do Grêmio;Flavio de Souza;Match Report;
14;Sat;sábado, 8 de julho de 2023;21:00;Palmeiras;1.1;1–1;0.8;Flamengo;40,229;Allianz Parque;Ramon Abatti;Match Report;
15;Sun;domingo, 16 de julho de 2023;11:00;Cruzeiro;0.8;0–0;1.1;Coritiba;22,123;Estádio Governador Magalhães Pinto;Leandro Pedro Vuaden;Match Report;
15;Sun;domingo, 16 de julho de 2023;16:00;São Paulo;3.2;4–1;1.1;Santos;58,127;Estádio do Morumbi;Braulio Machado;Match Report;
15;Sun;domingo, 16 de julho de 2023;16:00;Fortaleza;0.9;0–1;0.7;Cuiabá;43,048;Estádio Castelão;Yuri Elino Ferreira da Cruz;Match Report;
15;Sun;domingo, 16 de julho de 2023;16:00;Fluminense;1.5;0–0;0.4;Flamengo;62,354;Estadio Jornalista Mário Filho;Savio Pereira;Match Report;
15;Sun;domingo, 16 de julho de 2023;18:30;Ath Paranaense;2.2;2–0;1.0;Bahia;17,091;Estádio Joaquim Américo Guimarães;Rafael Rodrigo Klein;Match Report;
15;Sun;domingo, 16 de julho de 2023;18:30;Internacional;0.5;0–0;1.4;Palmeiras;41,823;Estádio José Pinheiro Borba;Rodrigo José Pereira de Lima;Match Report;
15;Sat;sábado, 15 de julho de 2023;21:00;Botafogo (RJ);1.0;2–0;1.4;Bragantino;37,036;Estádio Nilton Santos;Anderson Daronco;Match Report;
15;Mon;segunda-feira, 17 de julho de 2023;20:00;Goiás;1.5;0–0;0.2;Atlético Mineiro;12,303;Estádio de Hailé Pinheiro;Raphael Claus;Match Report;
16;Sat;sábado, 22 de julho de 2023;16:00;Palmeiras;1.4;3–1;1.5;Fortaleza;39,699;Allianz Parque;Rafael Rodrigo Klein;Match Report;
16;Sat;sábado, 22 de julho de 2023;16:00;Flamengo;2.5;1–1;1.3;América (MG);60,402;Estadio Jornalista Mário Filho;Rodrigo José Pereira de Lima;Match Report;
16;Sat;sábado, 22 de julho de 2023;17:30 (18:30);Cuiabá;2.2;2–1;0.9;São Paulo;34,072;Arena Pantanal;Bruno Mota Correia;Match Report;
16;Sat;sábado, 22 de julho de 2023;18:30;Bahia;1.4;0–0;0.1;Corinthians;43,716;Itaipava Arena Fonte Nova;André Luiz Skettino Policarpo Bento;Match Report;
16;Sun;domingo, 23 de julho de 2023;16:00;Santos;0.9;2–2;1.0;Botafogo (RJ);;Estádio Urbano Caldeira;Ramon Abatti Abel;Match Report;
16;Sun;domingo, 23 de julho de 2023;16:00;Cruzeiro;1.1;0–1;0.3;Goiás;21,688;Estádio Governador Magalhães Pinto;Caio Max Augusto Vieira;Match Report;
16;Sun;domingo, 23 de julho de 2023;16:00;Bragantino;1.0;0–0;0.9;Internacional;6,446;Estádio Nabi Abi Chedid;Maguielson Lima Barbosa;Match Report;
16;Sun;domingo, 23 de julho de 2023;18:30;Vasco da Gama;1.5;0–2;1.3;Ath Paranaense;;Estádio Club de Regatas Vasco da Gama;Paulo Zanovelli;Match Report;
16;Sat;sábado, 22 de julho de 2023;21:00;Grêmio;0.7;1–0;0.9;Atlético Mineiro;37,085;Arena do Grêmio;Luiz Flávio de Oliveira;Match Report;
16;Mon;segunda-feira, 24 de julho de 2023;19:00;Coritiba;1.9;2–0;1.0;Fluminense;32,872;Estádio Major Antônio Couto Pereira;Flavio de Souza;Match Report;
17;Sat;sábado, 29 de julho de 2023;16:00;Ath Paranaense;3.0;3–3;1.8;Cruzeiro;22,73;Estádio Joaquim Américo Guimarães;Yuri Elino Ferreira da Cruz;Match Report;
17;Sat;sábado, 29 de julho de 2023;16:00;Internacional;1.0;1–2;1.0;Cuiabá;32,02;Estádio José Pinheiro Borba;Matheus Delgado Candançan;Match Report;
17;Sat;sábado, 29 de julho de 2023;16:00;Fluminense;2.0;1–0;0.1;Santos;34,211;Estadio Jornalista Mário Filho;Rodrigo José Pereira de Lima;Match Report;
17;Sat;sábado, 29 de julho de 2023;18:30;Corinthians;1.3;3–1;1.7;Vasco da Gama;;Neo Química Arena;Leandro Pedro Vuaden;Match Report;
17;Sat;sábado, 29 de julho de 2023;18:30;Fortaleza;1.0;0–3;2.1;Bragantino;26,124;Estádio Castelão;André Luiz Skettino Policarpo Bento;Match Report;
17;Sun;domingo, 30 de julho de 2023;11:00;São Paulo;1.8;0–0;0.5;Bahia;56,078;Estádio do Morumbi;Ramon Abatti;Match Report;
17;Sun;domingo, 30 de julho de 2023;16:00;América (MG);1.4;1–4;0.9;Palmeiras;5,928;Estádio Raimundo Sampaio;Braulio Machado;Match Report;
17;Sun;domingo, 30 de julho de 2023;16:00;Botafogo (RJ);0.9;4–1;1.2;Coritiba;43,071;Estádio Nilton Santos;João Vitor Gobi;Match Report;
17;Sun;domingo, 30 de julho de 2023;18:30;Goiás;0.8;1–1;0.3;Grêmio;12,311;Estádio de Hailé Pinheiro;Paulo Zanovelli;Match Report;
17;Sat;sábado, 29 de julho de 2023;21:00;Atlético Mineiro;0.9;1–2;1.8;Flamengo;22,441;Estádio Raimundo Sampaio;Flavio de Souza;Match Report;
18;Sat;sábado, 5 de agosto de 2023;16:00;Santos;1.1;1–1;0.2;Ath Paranaense;;Estádio Urbano Caldeira;André Luiz Skettino Policarpo Bento;Match Report;
18;Sat;sábado, 5 de agosto de 2023;18:30;Goiás;0.9;1–0;0.7;Fortaleza;8,384;Estádio de Hailé Pinheiro;Leandro Pedro Vuaden;Match Report;
18;Sat;sábado, 5 de agosto de 2023;18:30;Internacional;1.5;2–2;1.1;Corinthians;22,509;Estádio José Pinheiro Borba;Wagner do Nascimento Magalhães;Match Report;
18;Sun;domingo, 6 de agosto de 2023;16:00;São Paulo;0.9;0–2;1.9;Atlético Mineiro;53,46;Estádio do Morumbi;Rodrigo José Pereira de Lima;Match Report;
18;Sun;domingo, 6 de agosto de 2023;16:00;Vasco da Gama;1.8;1–0;1.5;Grêmio;;Estádio Club de Regatas Vasco da Gama;Luiz Flávio de Oliveira;Match Report;
18;Sun;domingo, 6 de agosto de 2023;18:30;Cruzeiro;0.9;0–0;0.1;Botafogo (RJ);44,759;Estádio Governador Magalhães Pinto;Raphael Claus;Match Report;
18;Sun;domingo, 6 de agosto de 2023;18:30;Bahia;1.7;3–1;0.4;América (MG);34,313;Itaipava Arena Fonte Nova;Matheus Delgado Candançan;Match Report;
18;Sun;domingo, 6 de agosto de 2023;18:30;Coritiba;0.5;0–1;1.0;Bragantino;34,01;Estádio Major Antônio Couto Pereira;Yuri Elino Ferreira da Cruz;Match Report;
18;Sun;domingo, 6 de agosto de 2023;19:00 (20:00);Cuiabá;1.9;3–0;0.8;Flamengo;33,091;Arena Pantanal;Anderson Daronco;Match Report;
18;Sat;sábado, 5 de agosto de 2023;21:00;Fluminense;2.6;2–1;1.0;Palmeiras;77,973;Estadio Jornalista Mário Filho;Ramon Abatti Abel;Match Report;
19;Sun;domingo, 13 de agosto de 2023;11:00;Atlético Mineiro;1.1;1–0;0.6;Bahia;29,847;Estádio Governador Magalhães Pinto;Savio Pereira;Match Report;
19;Sun;domingo, 13 de agosto de 2023;16:00;América (MG);0.9;0–1;0.5;Goiás;2,888;Estádio Raimundo Sampaio;Luiz Flávio de Oliveira;Match Report;
19;Sun;domingo, 13 de agosto de 2023;16:00;Grêmio;1.2;2–1;1.0;Fluminense;38,712;Arena do Grêmio;Rodrigo José Pereira de Lima;Match Report;
19;Sun;domingo, 13 de agosto de 2023;16:00;Corinthians;2.4;3–1;0.8;Coritiba;42,171;Neo Química Arena;Ramon Abatti Abel;Match Report;
19;Sun;domingo, 13 de agosto de 2023;18:30;Fortaleza;2.6;4–0;0.5;Santos;32,301;Estádio Castelão;Bruno Mota Correia;Match Report;
19;Sun;domingo, 13 de agosto de 2023;18:30;Flamengo;1.4;1–1;0.8;São Paulo;62,018;Estadio Jornalista Mário Filho;Rafael Rodrigo Klein;Match Report;
19;Sat;sábado, 12 de agosto de 2023;21:00;Botafogo (RJ);2.3;3–1;1.7;Internacional;39,598;Estádio Nilton Santos;Flavio Rodrigues de Souza;Match Report;
19;Mon;segunda-feira, 14 de agosto de 2023;19:00;Palmeiras;1.4;1–0;0.6;Cruzeiro;38,555;Allianz Parque;Wagner do Nascimento Magalhães;Match Report;
19;Tue;terça-feira, 15 de agosto de 2023;20:00;Ath Paranaense;0.8;2–0;1.1;Cuiabá;18,444;Estádio Joaquim Américo Guimarães;Arthur Gomes Rabelo;Match Report;
19;Mon;segunda-feira, 14 de agosto de 2023;21:00;Bragantino;1.6;1–1;1.5;Vasco da Gama;5,553;Estádio Nabi Abi Chedid;Anderson Daronco;Match Report;
20;Sat;sábado, 19 de agosto de 2023;16:00;São Paulo;0.7;0–0;0.9;Botafogo (RJ);51,946;Estádio do Morumbi;Ramon Abatti;Match Report;
20;Sat;sábado, 19 de agosto de 2023;16:00;Internacional;1.0;0–1;1.1;Fortaleza;21,134;Estádio José Pinheiro Borba;Yuri Elino Ferreira da Cruz;Match Report;
20;Sat;sábado, 19 de agosto de 2023;17:30 (18:30);Cuiabá;0.7;0–2;1.7;Palmeiras;19,115;Arena Pantanal;André Luiz Skettino Policarpo Bento;Match Report;
20;Sat;sábado, 19 de agosto de 2023;18:30;Fluminense;1.2;3–1;1.4;América (MG);35,562;Estadio Jornalista Mário Filho;Flavio de Souza;Match Report;
20;Sun;domingo, 20 de agosto de 2023;11:00;Vasco da Gama;1.9;1–0;0.7;Atlético Mineiro;53,54;Estádio Club de Regatas Vasco da Gama;Braulio da Silva Machado;Match Report;
20;Sun;domingo, 20 de agosto de 2023;16:00;Santos;1.7;2–1;0.4;Grêmio;;Estádio Urbano Caldeira;Paulo Cesar Zanovelli da Silva;Match Report;
20;Sun;domingo, 20 de agosto de 2023;16:00;Bahia;1.8;4–0;0.7;Bragantino;38,452;Itaipava Arena Fonte Nova;Arthur Gomes Rabelo;Match Report;
20;Sun;domingo, 20 de agosto de 2023;16:00;Coritiba;2.6;2–3;1.9;Flamengo;31,851;Estádio Major Antônio Couto Pereira;Raphael Claus;Match Report;
20;Sat;sábado, 19 de agosto de 2023;21:00;Cruzeiro;2.0;1–1;0.6;Corinthians;36,202;Estádio Governador Magalhães Pinto;Rafael Rodrigo Klein;Match Report;
20;Mon;segunda-feira, 21 de agosto de 2023;20:00;Goiás;1.0;1–1;1.0;Ath Paranaense;8,325;Estádio de Hailé Pinheiro;Marcelo de Lima Henrique;Match Report;
21;Sat;sábado, 26 de agosto de 2023;18:30;Flamengo;0.7;0–0;0.3;Internacional;58,892;Estadio Jornalista Mário Filho;Edina Alves Batista;Match Report;
21;Sun;domingo, 27 de agosto de 2023;11:00;Bragantino;1.5;2–0;0.5;Cuiabá;3,683;Estádio Nabi Abi Chedid;Bruno Mota Correia;Match Report;
21;Sun;domingo, 27 de agosto de 2023;16:00;Atlético Mineiro;1.6;2–0;0.7;Santos;29,782;Arena MRV;Rafael Rodrigo Klein;Match Report;
21;Sun;domingo, 27 de agosto de 2023;16:00;Botafogo (RJ);2.3;3–0;1.2;Bahia;39,61;Estádio Nilton Santos;Flavio de Souza;Match Report;
21;Sun;domingo, 27 de agosto de 2023;16:00;América (MG);1.3;2–1;1.4;São Paulo;5,105;Estádio Raimundo Sampaio;Rodrigo José Pereira de Lima;Match Report;
21;Sun;domingo, 27 de agosto de 2023;18:30;Palmeiras;0.7;1–0;0.1;Vasco da Gama;40,292;Allianz Parque;Wilton Sampaio;Match Report;
21;Sun;domingo, 27 de agosto de 2023;18:30;Ath Paranaense;0.8;2–2;3.0;Fluminense;23,63;Estádio Joaquim Américo Guimarães;Raphael Claus;Match Report;
21;Sun;domingo, 27 de agosto de 2023;18:30;Fortaleza;2.5;3–1;1.0;Coritiba;12,467;Estádio Castelão;Matheus Delgado Candançan;Match Report;
21;Sun;domingo, 27 de agosto de 2023;19:00;Grêmio;1.5;3–0;0.6;Cruzeiro;52,203;Arena do Grêmio;Marcelo de Lima Henrique;Match Report;
21;Sat;sábado, 26 de agosto de 2023;21:00;Corinthians;1.0;1–1;1.8;Goiás;37,316;Neo Química Arena;Paulo Cesar Zanovelli da Silva;Match Report;
22;Sat;sábado, 2 de setembro de 2023;16:00;Ath Paranaense;2.0;1–1;0.4;Atlético Mineiro;18,009;Estádio Joaquim Américo Guimarães;Flavio de Souza;Match Report;
22;Sat;sábado, 2 de setembro de 2023;16:00;Goiás;0.9;0–0;0.7;Internacional;11,038;Estádio de Hailé Pinheiro;Braulio Machado;Match Report;
22;Sun;domingo, 3 de setembro de 2023;11:00;Grêmio;0.7;2–0;1.1;Cuiabá;39,339;Arena do Grêmio;Yuri Elino Ferreira da Cruz;Match Report;
22;Sun;domingo, 3 de setembro de 2023;16:00;Corinthians;0.8;0–0;0.7;Palmeiras;44,371;Neo Química Arena;Anderson Daronco;Match Report;
22;Sun;domingo, 3 de setembro de 2023;16:00;Fluminense;0.6;1–0;0.9;Fortaleza;10,035;Estadio Jornalista Mário Filho;André Luiz Skettino Policarpo Bento;Match Report;
22;Sun;domingo, 3 de setembro de 2023;18:30;Cruzeiro;1.2;0–0;1.2;Bragantino;29,417;Estádio Governador Magalhães Pinto;Wagner do Nascimento Magalhães;Match Report;
22;Sun;domingo, 3 de setembro de 2023;18:30;Bahia;1.7;1–1;1.1;Vasco da Gama;46,705;Itaipava Arena Fonte Nova;Ramon Abatti;Match Report;
22;Sun;domingo, 3 de setembro de 2023;18:30;América (MG);1.6;2–0;1.0;Santos;3,654;Estádio Raimundo Sampaio;Leandro Pedro Vuaden;Match Report;
22;Sat;sábado, 2 de setembro de 2023;21:00;Botafogo (RJ);1.1;1–2;0.8;Flamengo;40,769;Estádio Nilton Santos;Raphael Claus;Match Report;
23;Thu;quinta-feira, 14 de setembro de 2023;19:00;Santos;0.5;0–3;1.4;Cruzeiro;12,244;Estádio Urbano Caldeira;Braulio da Silva Machado;Match Report;
23;Thu;quinta-feira, 14 de setembro de 2023;19:00;Fortaleza;2.6;2–1;0.4;Corinthians;32,69;Estádio Castelão;Rodrigo José Pereira de Lima;Match Report;
23;Thu;quinta-feira, 14 de setembro de 2023;20:00;Coritiba;1.3;2–4;3.8;Bahia;22,961;Estádio Major Antônio Couto Pereira;Wagner do Nascimento Magalhães;Match Report;
23;Wed;quarta-feira, 13 de setembro de 2023;21:30;Internacional;1.0;2–1;1.4;São Paulo;20,763;Estádio José Pinheiro Borba;Paulo Zanovelli;Match Report;
23;Wed;quarta-feira, 13 de setembro de 2023;21:30;Flamengo;0.5;0–3;2.3;Ath Paranaense;20,67;Estadio Jornalista Mário Filho;Rafael Rodrigo Klein;Match Report;
23;Fri;sexta-feira, 15 de setembro de 2023;19:00 (20:00);Cuiabá;1.7;2–2;0.4;América (MG);8,509;Arena Pantanal;Bruno Arleu;Match Report;
23;Thu;quinta-feira, 14 de setembro de 2023;21:30;Bragantino;1.3;2–0;1.3;Grêmio;5,088;Estádio Nabi Abi Chedid;André Luiz Skettino Policarpo Bento;Match Report;
23;Sat;sábado, 16 de setembro de 2023;16:00;Vasco da Gama;1.4;4–2;1.9;Fluminense;35,85;Estádio Club de Regatas Vasco da Gama;Raphael Claus;Match Report;
23;Fri;sexta-feira, 15 de setembro de 2023;21:30;Palmeiras;1.0;1–0;0.4;Goiás;38,146;Allianz Parque;Savio Pereira;Match Report;
23;Sat;sábado, 16 de setembro de 2023;21:00;Atlético Mineiro;1.3;1–0;0.1;Botafogo (RJ);31,729;Arena MRV;Ramon Abatti;Match Report;
24;Mon;segunda-feira, 18 de setembro de 2023;20:00;Bahia;0.9;1–2;2.6;Santos;41,431;Itaipava Arena Fonte Nova;Ramon Abatti;Match Report;
15;Mon;segunda-feira, 18 de setembro de 2023;21:00;Corinthians;1.8;4–4;1.1;Grêmio;35,796;Neo Química Arena;Wilton Sampaio;Match Report;
24;Wed;quarta-feira, 20 de setembro de 2023;19:00;Goiás;0.1;0–0;0.5;Flamengo;13,799;Estádio de Hailé Pinheiro;Raphael Claus;Match Report;
24;Tue;terça-feira, 19 de setembro de 2023;21:30;América (MG);1.2;0–2;1.8;Bragantino;2,247;Estádio Raimundo Sampaio;Marcelo de Lima Henrique;Match Report;
24;Thu;quinta-feira, 21 de setembro de 2023;19:00;Vasco da Gama;3.5;5–1;0.5;Coritiba;20,321;Estádio Club de Regatas Vasco da Gama;Flavio de Souza;Match Report;
24;Thu;quinta-feira, 21 de setembro de 2023;19:30;Ath Paranaense;0.9;2–1;0.8;Internacional;24,871;Estádio Joaquim Américo Guimarães;Wagner do Nascimento Magalhães;Match Report;
24;Wed;quarta-feira, 20 de setembro de 2023;21:30;Fluminense;0.5;1–0;0.7;Cruzeiro;28,985;Estadio Jornalista Mário Filho;Matheus Delgado Candançan;Match Report;
24;Wed;quarta-feira, 20 de setembro de 2023;21:30;São Paulo;1.6;1–2;1.1;Fortaleza;24,777;Estádio do Morumbi;Yuri Elino Ferreira da Cruz;Match Report;
24;Fri;sexta-feira, 22 de setembro de 2023;20:00;Corinthians;1.1;1–0;0.5;Botafogo (RJ);37,237;Neo Química Arena;Paulo Zanovelli;Match Report;
24;Thu;quinta-feira, 21 de setembro de 2023;21:30;Grêmio;0.4;1–0;1.0;Palmeiras;29,057;Arena do Grêmio;Bruno Arleu;Match Report;
24;Sat;sábado, 23 de setembro de 2023;21:00;Atlético Mineiro;0.6;1–0;0.4;Cuiabá;36,104;Arena MRV;Rodrigo José Pereira de Lima;Match Report;
15;Mon;segunda-feira, 25 de setembro de 2023;20:00;América (MG);1.6;0–1;0.8;Vasco da Gama;8,498;Estádio Raimundo Sampaio;Ramon Abatti;Match Report;
22;Wed;quarta-feira, 27 de setembro de 2023;19:00;São Paulo;1.6;2–1;0.8;Coritiba;31,72;Estádio do Morumbi;Savio Pereira;Match Report;
25;Sat;sábado, 30 de setembro de 2023;16:00;Fortaleza;1.9;1–1;1.5;Grêmio;23,634;Estádio Castelão;Raphael Claus;Match Report;
25;Sat;sábado, 30 de setembro de 2023;16:00;Flamengo;1.4;1–0;0.5;Bahia;46,472;Estadio Jornalista Mário Filho;Savio Pereira;Match Report;
25;Sat;sábado, 30 de setembro de 2023;17:30 (18:30);Cuiabá;1.2;3–0;0.2;Fluminense;8,358;Arena Pantanal;Paulo Zanovelli;Match Report;
25;Sat;sábado, 30 de setembro de 2023;18:30;São Paulo;2.3;2–1;0.2;Corinthians;56,735;Estádio do Morumbi;Flavio de Souza;Match Report;
25;Sun;domingo, 1 de outubro de 2023;16:00;Coritiba;0.5;2–0;0.9;Ath Paranaense;20,992;Estádio Major Antônio Couto Pereira;Bruno Arleu;Match Report;
25;Sun;domingo, 1 de outubro de 2023;16:00;Santos;2.4;4–1;0.9;Vasco da Gama;;Estádio Urbano Caldeira;Anderson Daronco;Match Report;
25;Sun;domingo, 1 de outubro de 2023;16:00;Cruzeiro;0.6;1–1;1.0;América (MG);44,279;Estádio Governador Magalhães Pinto;Leandro Pedro Vuaden;Match Report;
25;Sun;domingo, 1 de outubro de 2023;18:30;Bragantino;2.9;2–1;1.5;Palmeiras;9,093;Estádio Nabi Abi Chedid;Wagner do Nascimento Magalhães;Match Report;
25;Sat;sábado, 30 de setembro de 2023;21:00;Internacional;0.8;0–2;1.4;Atlético Mineiro;23,937;Estádio José Pinheiro Borba;Ramon Abatti;Match Report;
25;Mon;segunda-feira, 2 de outubro de 2023;20:00;Botafogo (RJ);0.9;1–1;0.5;Goiás;34,294;Estádio Nilton Santos;Braulio da Silva Machado;Match Report;
26;Sat;sábado, 7 de outubro de 2023;16:00;Goiás;2.7;4–6;2.0;Bahia;9,001;Estádio de Hailé Pinheiro;Raphael Claus;Match Report;
26;Sat;sábado, 7 de outubro de 2023;18:30;Vasco da Gama;0.9;0–0;1.4;São Paulo;20,69;Estádio Club de Regatas Vasco da Gama;Braulio Machado;Match Report;
26;Sun;domingo, 8 de outubro de 2023;16:00;Fluminense;1.1;0–2;1.9;Botafogo (RJ);45,193;Estadio Jornalista Mário Filho;Leandro Pedro Vuaden;Match Report;
26;Sun;domingo, 8 de outubro de 2023;16:00;Palmeiras;2.1;1–2;1.4;Santos;17,049;Allianz Parque;Flavio de Souza;Match Report;
26;Sun;domingo, 8 de outubro de 2023;16:00;Internacional;2.5;3–2;0.4;Grêmio;39,133;Estádio José Pinheiro Borba;Paulo Zanovelli;Match Report;
